id,data,emoji
CARROT_ITEM,,<:carrot:827453070942273536>
EXP_BOTTLE,,<:experience_bottle:827454195702562886>
WHEAT,,<:wheat:827457003877826570>
PRISMARINE_SHARD,,<:prismarine_shard:827456095730925568>
MUTTON,,<:mutton_raw:827455800674091078>
DIAMOND,,<:diamond:827453297983356948>
SPIDER_EYE,,<:spider_eye:827456866103066684>
RAW_FISH,,<:fish_cod_raw:827454375009845248>
POTATO_ITEM,,<:potato:827455937072726016>
PORK,,<:porkchop_raw:827455919650635786>
PRISMARINE_CRYSTALS,,<:prismarine_crystals:827456068195975198>
STRING,,<:string:827456972533530634>
RABBIT_FOOT,,<:rabbit_foot:827456215784226866>
REDSTONE,,<:redstone_dust:827456633054691329>
SLIME_BALL,,<:slimeball:827456817206263808>
SNOW_BALL,,<:snowball:827456829428727808>
RAW_CHICKEN,,<:chicken_raw:827453213485563934>
SEEDS,,<:seeds_wheat:827456778027532308>
FLINT,,<:flint:827454606237761557>
MELON,,<:melon:827455522914435082>
RAW_FISH:3,,<:fish_pufferfish_raw:827454415690399754>
BONE,,<:bone:827452812794265622>
RAW_FISH:2,,<:fish_clownfish_raw:827454330138263562>
RAW_FISH:1,,<:fish_salmon_raw:827454504130707457>
FEATHER,,<:feather:827454218570825820>
BLAZE_ROD,,<:blaze_rod:827452795959509002>
GHAST_TEAR,,<:ghast_tear:827454678375727125>
IRON_INGOT,,<:iron_ingot:827455219062931476>
GLOWSTONE_DUST,,<:glowstone_dust:827454703247163402>
GOLD_INGOT,,<:gold_ingot:827454895602401280>
EMERALD,,<:emerald:827454055143833611>
CLAY_BALL,,<:clay_ball:827453229453017088>
COAL,,<:coal:827453246418190387>
ENDER_PEARL,,<:ender_pearl:827454174958583818>
QUARTZ,,<:quartz:827456121060982795>
RAW_BEEF,,<:beef_raw:827452774404194314>
SUGAR_CANE,,<:reeds:827456643142254602>
MAGMA_CREAM,,<:magma_cream:827455442464014368>
RABBIT_HIDE,,<:rabbit_hide:827456230510297119>
RABBIT,,<:rabbit_raw:827456245778219020>
NETHER_STALK,,<:nether_wart:827455837479763978>
SULPHUR,,<:gunpowder:827455053581385779>
ROTTEN_FLESH,,<:rotten_flesh:827456668958195719>
LEATHER,,<:leather:827455290877411370>
BROWN_MUSHROOM,,<:BROWN_MUSHROOM:828889895979581451>
INK_SACK:3,,<:INK_SACK_3:828890236389818399>
SPOOKY_SHARD,,<:SPOOKY_SHARD:828890242299199488>
INK_SACK:4,,<:INK_SACK_4:828890246976372778>
ENCHANTED_POTATO,,<:ENCHANTED_POTATO:828890252730433567>        
JERRY_BOX_GREEN,,<:JERRY_BOX_GREEN:828890263455399957>
ENCHANTED_SLIME_BALL,,<:ENCHANTED_SLIME_BALL:828890268992143380>
ENCHANTED_GOLDEN_CARROT,,<:ENCHANTED_GOLDEN_CARROT:828890274809380864>
ENCHANTED_RED_MUSHROOM,,<:ENCHANTED_RED_MUSHROOM:828890282333306960>
ENCHANTED_RABBIT_HIDE,,<:ENCHANTED_RABBIT_HIDE:828890288633675806>
ENCHANTED_BIRCH_LOG,,<:ENCHANTED_BIRCH_LOG:828890296988991518>
ENCHANTED_GUNPOWDER,,<:ENCHANTED_GUNPOWDER:828890300453748736>
ENCHANTED_MELON,,<:ENCHANTED_MELON:828890306467856464>
ENCHANTED_SUGAR,,<:ENCHANTED_SUGAR:828890311631568926>
CACTUS,,<:CACTUS:828890317532168223>
ENCHANTED_BLAZE_ROD,,<:ENCHANTED_BLAZE_ROD:828890327950688266>
ENCHANTED_CAKE,,<:ENCHANTED_CAKE:828890337317355520>
PUMPKIN,,<:PUMPKIN:828890343951826994>
ENCHANTED_BROWN_MUSHROOM,,<:ENCHANTED_BROWN_MUSHROOM:828890357973516298>
ENCHANTED_RAW_SALMON,,<:ENCHANTED_RAW_SALMON:828890374071386143>
ENCHANTED_GLISTERING_MELON,,<:ENCHANTED_GLISTERING_MELON:828890382896857109>
ENCHANTED_EMERALD,,<:ENCHANTED_EMERALD:828890395676639284>
PROTECTOR_FRAGMENT,,<:PROTECTOR_FRAGMENT:828890415364440064>
ENCHANTED_SPIDER_EYE,,<:ENCHANTED_SPIDER_EYE:828890431390613514>
RED_MUSHROOM,,<:RED_MUSHROOM:828890448532996126>
ENCHANTED_MELON_BLOCK,,<:ENCHANTED_MELON_BLOCK:828890467743301652>
WISE_FRAGMENT,,<:WISE_FRAGMENT:828890485434220574>
SHARK_FIN,,<:SHARK_FIN:828890502920273970>
COBBLESTONE,,<:COBBLESTONE:828890521317146634>
REFINED_MITHRIL,,<:REFINED_MITHRIL:828890537977053184>
ENCHANTED_PUFFERFISH,,<:ENCHANTED_PUFFERFISH:828890555001470987>
ENCHANTED_HUGE_MUSHROOM_1,,<:ENCHANTED_HUGE_MUSHROOM_1:828890573662191626>
REFINED_DIAMOND,,<:REFINED_DIAMOND:828890589620862986>
ENCHANTED_COBBLESTONE,,<:ENCHANTED_COBBLESTONE:828890609364369410>
TIGHTLY_TIED_HAY_BALE,,<:TIGHTLY_TIED_HAY_BALE:828890655404458024>
ENCHANTED_HUGE_MUSHROOM_2,,<:ENCHANTED_HUGE_MUSHROOM_2:828890704662495253>
ICE,,<:ICE:828890743577378829>
HUGE_MUSHROOM_1,,<:HUGE_MUSHROOM_1:828890773101346836>
ICE_BAIT,,<:ICE_BAIT:828890789688901653>
